TOP6d155165	START
TOPa8e7e6b4	START
TOPa8e7e6b4	attack_mode	3
TOPa8e7e6b4	attack_kern	3
TOPa8e7e6b4	benchmark	0
TOPa8e7e6b4	stdout_flag	0
TOPa8e7e6b4	bitmap_min	16
TOPa8e7e6b4	bitmap_max	24
TOPa8e7e6b4	debug_mode	0
TOPa8e7e6b4	force	0
TOPa8e7e6b4	kernel_accel	0
TOPa8e7e6b4	kernel_loops	0
TOPa8e7e6b4	nvidia_spin_damp	100
TOPa8e7e6b4	gpu_temp_disable	0
TOPa8e7e6b4	gpu_temp_abort	90
TOPa8e7e6b4	gpu_temp_retain	75
TOPa8e7e6b4	hash_mode	9600
TOPa8e7e6b4	hex_charset	0
TOPa8e7e6b4	hex_salt	0
TOPa8e7e6b4	hex_wordlist	0
TOPa8e7e6b4	increment	0
TOPa8e7e6b4	increment_max	54
TOPa8e7e6b4	increment_min	1
TOPa8e7e6b4	keyspace	0
TOPa8e7e6b4	left	0
TOPa8e7e6b4	logfile_disable	0
TOPa8e7e6b4	loopback	0
TOPa8e7e6b4	markov_classic	0
TOPa8e7e6b4	markov_disable	0
TOPa8e7e6b4	markov_threshold	0
TOPa8e7e6b4	outfile_autohex	1
TOPa8e7e6b4	outfile_check_timer	5
TOPa8e7e6b4	outfile_format	3
TOPa8e7e6b4	potfile_disable	0
TOPa8e7e6b4	powertune_enable	0
TOPa8e7e6b4	scrypt_tmto	0
TOPa8e7e6b4	quiet	0
TOPa8e7e6b4	remove	0
TOPa8e7e6b4	remove_timer	60
TOPa8e7e6b4	restore	0
TOPa8e7e6b4	restore_disable	0
TOPa8e7e6b4	restore_timer	60
TOPa8e7e6b4	rp_gen	0
TOPa8e7e6b4	rp_gen_func_max	4
TOPa8e7e6b4	rp_gen_func_min	1
TOPa8e7e6b4	rp_gen_seed	0
TOPa8e7e6b4	runtime	0
TOPa8e7e6b4	segment_size	32
TOPa8e7e6b4	show	0
TOPa8e7e6b4	status	1
TOPa8e7e6b4	machine_readable	0
TOPa8e7e6b4	status_timer	10
TOPa8e7e6b4	usage	0
TOPa8e7e6b4	username	1
TOPa8e7e6b4	version	0
TOPa8e7e6b4	weak_hash_threshold	0
TOPa8e7e6b4	workload_profile	2
TOPa8e7e6b4	limit	0
TOPa8e7e6b4	skip	0
TOPa8e7e6b4	separator	:
TOPa8e7e6b4	opencl_vector_width	0
TOPa8e7e6b4	outfile	../Avancement grade.crack
TOPa8e7e6b4	rule_buf_l	:
TOPa8e7e6b4	rule_buf_r	:
TOPa8e7e6b4	session	hashcat
TOPa8e7e6b4	veracrypt_pim	0
TOPa8e7e6b4	target	../Avancement grade.pot
TOPa8e7e6b4	hashlist_mode	4
TOPa8e7e6b4	hashlist_format	0
TOP9a9ed629	START
TOP9a9ed629	attack_mode	3
TOP9a9ed629	attack_kern	3
TOP9a9ed629	benchmark	0
TOP9a9ed629	stdout_flag	0
TOP9a9ed629	bitmap_min	16
TOP9a9ed629	bitmap_max	24
TOP9a9ed629	debug_mode	0
TOP9a9ed629	force	0
TOP9a9ed629	kernel_accel	0
TOP9a9ed629	kernel_loops	0
TOP9a9ed629	nvidia_spin_damp	100
TOP9a9ed629	gpu_temp_disable	0
TOP9a9ed629	gpu_temp_abort	90
TOP9a9ed629	gpu_temp_retain	75
TOP9a9ed629	hash_mode	9600
TOP9a9ed629	hex_charset	0
TOP9a9ed629	hex_salt	0
TOP9a9ed629	hex_wordlist	0
TOP9a9ed629	increment	0
TOP9a9ed629	increment_max	54
TOP9a9ed629	increment_min	1
TOP9a9ed629	keyspace	0
TOP9a9ed629	left	0
TOP9a9ed629	logfile_disable	0
TOP9a9ed629	loopback	0
TOP9a9ed629	markov_classic	0
TOP9a9ed629	markov_disable	0
TOP9a9ed629	markov_threshold	0
TOP9a9ed629	outfile_autohex	1
TOP9a9ed629	outfile_check_timer	5
TOP9a9ed629	outfile_format	3
TOP9a9ed629	potfile_disable	0
TOP9a9ed629	powertune_enable	0
TOP9a9ed629	scrypt_tmto	0
TOP9a9ed629	quiet	0
TOP9a9ed629	remove	0
TOP9a9ed629	remove_timer	60
TOP9a9ed629	restore	0
TOP9a9ed629	restore_disable	0
TOP9a9ed629	restore_timer	60
TOP9a9ed629	rp_gen	0
TOP9a9ed629	rp_gen_func_max	4
TOP9a9ed629	rp_gen_func_min	1
TOP9a9ed629	rp_gen_seed	0
TOP9a9ed629	runtime	0
TOP9a9ed629	segment_size	32
TOP9a9ed629	show	0
TOP9a9ed629	status	1
TOP9a9ed629	machine_readable	0
TOP9a9ed629	status_timer	10
TOP9a9ed629	usage	0
TOP9a9ed629	username	0
TOP9a9ed629	version	0
TOP9a9ed629	weak_hash_threshold	0
TOP9a9ed629	workload_profile	2
TOP9a9ed629	limit	0
TOP9a9ed629	skip	0
TOP9a9ed629	separator	:
TOP9a9ed629	opencl_vector_width	0
TOP9a9ed629	outfile	../Avancement grade.crack
TOP9a9ed629	rule_buf_l	:
TOP9a9ed629	rule_buf_r	:
TOP9a9ed629	session	hashcat
TOP9a9ed629	veracrypt_pim	0
TOP9a9ed629	target	../Avancement grade.pot
TOP9a9ed629	hashlist_mode	4
TOP9a9ed629	hashlist_format	0
TOP5b160618	START
TOP5b160618	attack_mode	3
TOP5b160618	attack_kern	3
TOP5b160618	benchmark	0
TOP5b160618	stdout_flag	0
TOP5b160618	bitmap_min	16
TOP5b160618	bitmap_max	24
TOP5b160618	debug_mode	0
TOP5b160618	force	0
TOP5b160618	kernel_accel	0
TOP5b160618	kernel_loops	0
TOP5b160618	nvidia_spin_damp	100
TOP5b160618	gpu_temp_disable	0
TOP5b160618	gpu_temp_abort	90
TOP5b160618	gpu_temp_retain	75
TOP5b160618	hash_mode	9600
TOP5b160618	hex_charset	0
TOP5b160618	hex_salt	0
TOP5b160618	hex_wordlist	0
TOP5b160618	increment	0
TOP5b160618	increment_max	54
TOP5b160618	increment_min	1
TOP5b160618	keyspace	0
TOP5b160618	left	0
TOP5b160618	logfile_disable	0
TOP5b160618	loopback	0
TOP5b160618	markov_classic	0
TOP5b160618	markov_disable	0
TOP5b160618	markov_threshold	0
TOP5b160618	outfile_autohex	1
TOP5b160618	outfile_check_timer	5
TOP5b160618	outfile_format	3
TOP5b160618	potfile_disable	0
TOP5b160618	powertune_enable	0
TOP5b160618	scrypt_tmto	0
TOP5b160618	quiet	0
TOP5b160618	remove	0
TOP5b160618	remove_timer	60
TOP5b160618	restore	0
TOP5b160618	restore_disable	0
TOP5b160618	restore_timer	60
TOP5b160618	rp_gen	0
TOP5b160618	rp_gen_func_max	4
TOP5b160618	rp_gen_func_min	1
TOP5b160618	rp_gen_seed	0
TOP5b160618	runtime	0
TOP5b160618	segment_size	32
TOP5b160618	show	0
TOP5b160618	status	1
TOP5b160618	machine_readable	0
TOP5b160618	status_timer	10
TOP5b160618	usage	0
TOP5b160618	username	0
TOP5b160618	version	0
TOP5b160618	weak_hash_threshold	0
TOP5b160618	workload_profile	2
TOP5b160618	limit	0
TOP5b160618	skip	0
TOP5b160618	separator	:
TOP5b160618	opencl_vector_width	0
TOP5b160618	outfile	../Avancement grade.crack
TOP5b160618	rule_buf_l	:
TOP5b160618	rule_buf_r	:
TOP5b160618	session	hashcat
TOP5b160618	veracrypt_pim	0
TOP5b160618	target	../Avancement grade.pot
TOP5b160618	hashlist_mode	4
TOP5b160618	hashlist_format	0
TOP9ae7b428	START
TOP9ae7b428	attack_mode	0
TOP9ae7b428	attack_kern	0
TOP9ae7b428	benchmark	1
TOP9ae7b428	stdout_flag	0
TOP9ae7b428	bitmap_min	16
TOP9ae7b428	bitmap_max	24
TOP9ae7b428	debug_mode	0
TOP9ae7b428	force	0
TOP9ae7b428	kernel_accel	0
TOP9ae7b428	kernel_loops	0
TOP9ae7b428	nvidia_spin_damp	100
TOP9ae7b428	gpu_temp_disable	0
TOP9ae7b428	gpu_temp_abort	90
TOP9ae7b428	gpu_temp_retain	75
TOP9ae7b428	hash_mode	0
TOP9ae7b428	hex_charset	0
TOP9ae7b428	hex_salt	0
TOP9ae7b428	hex_wordlist	0
TOP9ae7b428	increment	0
TOP9ae7b428	increment_max	54
TOP9ae7b428	increment_min	1
TOP9ae7b428	keyspace	0
TOP9ae7b428	left	0
TOP9ae7b428	logfile_disable	0
TOP9ae7b428	loopback	0
TOP9ae7b428	markov_classic	0
TOP9ae7b428	markov_disable	0
TOP9ae7b428	markov_threshold	0
TOP9ae7b428	outfile_autohex	1
TOP9ae7b428	outfile_check_timer	5
TOP9ae7b428	outfile_format	3
TOP9ae7b428	potfile_disable	0
TOP9ae7b428	powertune_enable	0
TOP9ae7b428	scrypt_tmto	0
TOP9ae7b428	quiet	0
TOP9ae7b428	remove	0
TOP9ae7b428	remove_timer	60
TOP9ae7b428	restore	0
TOP9ae7b428	restore_disable	0
TOP9ae7b428	restore_timer	60
TOP9ae7b428	rp_gen	0
TOP9ae7b428	rp_gen_func_max	4
TOP9ae7b428	rp_gen_func_min	1
TOP9ae7b428	rp_gen_seed	0
TOP9ae7b428	runtime	0
TOP9ae7b428	segment_size	32
TOP9ae7b428	show	0
TOP9ae7b428	status	0
TOP9ae7b428	machine_readable	0
TOP9ae7b428	status_timer	10
TOP9ae7b428	usage	0
TOP9ae7b428	username	0
TOP9ae7b428	version	0
TOP9ae7b428	weak_hash_threshold	100
TOP9ae7b428	workload_profile	2
TOP9ae7b428	limit	0
TOP9ae7b428	skip	0
TOP9ae7b428	separator	:
TOP9ae7b428	opencl_device_types	2
TOP9ae7b428	opencl_vector_width	0
TOP9ae7b428	rule_buf_l	:
