# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)

252	253	247	98
252	253	246	98
252	253	245	98
252	252	255	99
252	252	254	99
252	252	253	99
252	252	252	99
252	252	251	99
252	252	250	99
252	252	249	98
252	252	248	98
252	252	247	98
252	252	246	98
252	252	245	98
252	251	255	99
252	251	254	99
252	251	253	99
252	251	252	99
252	251	251	99
252	251	250	98
252	251	249	98
252	251	248	98
252	251	247	98
252	251	246	98
252	251	245	98
252	250	255	99
252	250	254	99
252	250	253	99
252	250	252	99
252	250	251	98
252	250	250	98
252	250	249	98
252	250	248	98
252	250	247	98
252	250	246	98
252	250	245	98
252	249	255	99
252	249	254	99
252	249	253	99
252	249	252	98
252	249	251	98
252	249	250	98
252	249	249	98
252	249	248	98
252	249	247	98
252	249	246	98
252	249	245	98
252	248	255	99
252	248	254	99
252	248	253	98
252	248	252	98
252	248	251	98
252	248	250	98
252	248	249	98
252	248	248	98
252	248	247	98
252	248	246	98
252	248	245	97
252	247	255	99
252	247	254	98
252	247	253	98
252	247	252	98
252	247	251	98
252	247	250	98
252	247	249	98
252	247	248	98
252	247	247	98
252	247	246	97
252	247	245	97
252	246	255	98
252	246	254	98
252	246	253	98
252	246	252	98
252	246	251	98
252	246	250	98
252	246	249	98
252	246	248	98
252	246	247	97
252	246	246	97
252	246	245	97
252	245	255	98
252	245	254	98
252	245	253	98
252	245	252	98
252	245	251	98
252	245	250	98
252	245	249	98
252	245	248	97
252	245	247	97
252	245	246	97
252	245	245	97
251	255	255	99
251	255	254	99
251	255	253	99
251	255	252	99
251	255	251	99
251	255	250	99
251	255	249	99
251	255	248	99
251	255	247	98
251	255	246	98
251	255	245	98
251	254	255	99
251	254	254	99
251	254	253	99
251	254	252	99
251	254	251	99
251	254	250	99
251	254	249	99
251	254	248	98
251	254	247	98
251	254	246	98
251	254	245	98
251	253	255	99
251	253	254	99
251	253	253	99
251	253	252	99
251	253	251	99
251	253	250	99
251	253	249	98
251	253	248	98
251	253	247	98
251	253	246	98
251	253	245	98
251	252	255	99
251	252	254	99
251	252	253	99
251	252	252	99
251	252	251	99
251	252	250	98
251	252	249	98
251	252	248	98
251	252	247	98
251	252	246	98
251	252	245	98
251	251	255	99
251	251	254	99
251	251	253	99
251	251	252	99
251	251	251	98
251	251	250	98
251	251	249	98
251	251	248	98
251	251	247	98
251	251	246	98
251	251	245	98
251	250	255	99
251	250	254	99
251	250	253	99
251	250	252	98
251	250	251	98
251	250	250	98
251	250	249	98
251	250	248	98
251	250	247	98
251	250	246	98
251	250	245	98
251	249	255	99
251	249	254	99
251	249	253	98
251	249	252	98
251	249	251	98
251	249	250	98
251	249	249	98
251	249	248	98
251	249	247	98
251	249	246	98
251	249	245	97
251	248	255	99
251	248	254	98
251	248	253	98
251	248	252	98
251	248	251	98
251	248	250	98
251	248	249	98
251	248	248	98
251	248	247	98
251	248	246	97
251	248	245	97
251	247	255	98
251	247	254	98
251	247	253	98
251	247	252	98
251	247	251	98
251	247	250	98
251	247	249	98
251	247	248	98
251	247	247	97
251	247	246	97
251	247	245	97
251	246	255	98
251	246	254	98
251	246	253	98
251	246	252	98
251	246	251	98
251	246	250	98
251	246	249	98
251	246	248	97
251	246	247	97
251	246	246	97
251	246	245	97
251	245	255	98
251	245	254	98
251	245	253	98
251	245	252	98
251	245	251	98
251	245	250	98
251	245	249	97
251	245	248	97
251	245	247	97
251	245	246	97
251	245	245	97
250	255	255	99
250	255	254	99
250	255	253	99
250	255	252	99
250	255	251	99
250	255	250	99
250	255	249	99
250	255	248	98
250	255	247	98
250	255	246	98
250	255	245	98
250	254	255	99
