,,Degré (décimal),,Degré Minute,,Degré Minute Seconde,
shapeid,name,longitude_Decimal,latitude_Decimal,longitude_Degre_Minute,latitude_Degre_Minute,longitude _DMS,latitude_DMS
74,Rue Des Dames Angle Amelot,-1.147233,46.16035,-1.08.834,46.09.621,,
75,Rue Des Gentilshommes,-1.150867,46.159567,-1.09.052,46.09.574,,
76,Rue Du Palais,-1.15355,46.160017,-1.09.213,46.09.601,,
77,Rue Dupaty,-1.150767,46.159584,-1.09.046,46.09.575,,
78,Rue Dupleix,-1.162767,46.170017,-1.09.766,46.10.201,,
79,Rue Echelle De Couronne,-1.147017,46.162517,-1.08.821,46.09.751,,
80,Rue Eglise Laleu,-1.202267,46.170217,-1.12.136,46.10.213,,
81,Rue Emil Couneau,-1.1478,46.149484,-1.08.868,46.08.969,,
82,Rue Evescot,-1.149183,46.163084,-1.08.951,46.09.785,,
83,Rue Franck Delmas Sport,-1.173733,46.157434,-1.10.424,46.09.446,,
84,Rue Gambetta Angle St Francois,-1.143617,46.162117,-1.08.617,46.09.727,,
85,Rue Gambetta Face Buffeterie,-1.148217,46.161851,-1.08.893,46.09.711,,
86,Rue Gargoulleau,-1.155917,46.160117,-1.09.355,46.09.607,,
87,Rue Huguenotte,-1.155383,46.149884,-1.09.323,46.08.993,,
88,Rue Jules Vallés,-1.1243,46.157634,-1.07.458,46.09.458,,
89,Rue Merciers Angle Thiers,-1.149967,46.160834,-1.08.998,46.09.650,,
90,Rue Philippe Vct Bar,-1.176933,46.15365,-1.10.616,46.09.219,,
91,Rue Philippe Vct Ent Parc,-1.173217,46.15425,-1.10.393,46.09.255,,
92,Rue Rambaud Num 18,-1.149583,46.161617,-1.08.975,46.09.697,,
93,Rue Reaumur Angle Porte Neuve,-1.155783,46.160301,-1.09.347,46.09.618,,
94,Rue St Jean Duperot Ecole Or,-1.155617,46.156034,-1.09.337,46.09.362,,
95,Rue St Yon,-1.155917,46.160117,-1.09.355,46.09.607,,
96,Rue Thiers Angle St Louis,-1.1456,46.161317,-1.08.736,46.09.679,,
97,Rue Verdiere Angle Vieljeux,-1.154833,46.157667,-1.09.290,46.09.460,,
98,Square Franck Espoir,-1.161933,46.171884,-1.09.716,46.10.313,,
99,St Jean Duperot Cours Dames,-1.154017,46.156517,-1.09.241,46.09.391,,
100,Stade Bouffenie Rue Vienne Mir,-1.171767,46.164701,-1.10.306,46.09.882,,
101,Suare Ilot Bouchard,-1.14335,46.1464,-1.08.601,46.08.784,,
