-- open spool at Fri May 11 17:02:47 CEST 2012
Tables
-------------+----------------------+------------+---------+
 TABLE_SCHEM |      TABLE_NAME      | TABLE_TYPE | REMARKS |
 CLIENT1     | CT007_INT            | TABLE      | [NULL]  |
 CLIENT1     | CT007_IRT            | TABLE      | [NULL]  |
 CLIENT1     | CT007_IST            | TABLE      | [NULL]  |
 CLIENT1     | CT007_ITY            | TABLE      | [NULL]  |
 CLIENT1     | CT007_IUFF           | TABLE      | [NULL]  |
 CLIENT1     | CT007_IUS            | TABLE      | [NULL]  |
 CLIENT1     | CT009_CT009          | TABLE      | [NULL]  |
 CLIENT1     | CT009_IBT            | TABLE      | [NULL]  |
 CLIENT1     | CT009_ILTDF          | TABLE      | [NULL]  |
 CLIENT1     | CT009_ILTF           | TABLE      | [NULL]  |
 CLIENT1     | CT009_INT            | TABLE      | [NULL]  |
 CLIENT1     | CT009_IRT            | TABLE      | [NULL]  |
 CLIENT1     | CT009_IST            | TABLE      | [NULL]  |
 CLIENT1     | CT009_ITY            | TABLE      | [NULL]  |
 CLIENT1     | CT009_IUFF           | TABLE      | [NULL]  |
 CLIENT1     | CT009_IUS            | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ARCLOTS      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ARCLOTS_W    | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ARCPAGES     | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ARCPAGES_W   | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_DEMOGED      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_DEMOGED_R    | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IAUTEUR      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IDATE        | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IDESCRIP     | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IDOCLIES     | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ILANGUE      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ILIEU        | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IRANGEMT     | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_IRESUME      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ISOURCE      | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_ITITRE       | TABLE      | [NULL]  |
 CLIENT1     | DEMOGED_POSTIT       | TABLE      | [NULL]  |
 CLIENT1     | DSS_AUDIT            | TABLE      | [NULL]  |
 CLIENT1     | DSS_CONFIG           | TABLE      | [NULL]  |
 CLIENT1     | DSS_LOCK_TABLE       | TABLE      | [NULL]  |
 CLIENT1     | DSS_RSCCOM           | TABLE      | [NULL]  |
 CLIENT1     | DSS_SYS_TABLE        | TABLE      | [NULL]  |
 CLIENT1     | EDMDEMO_ARCLOTS      | TABLE      | [NULL]  |
 CLIENT1     | EDMDEMO_ARCLOTS_W    | TABLE      | [NULL]  |
 CLIENT1     | EDMDEMO_ARCPAGES     | TABLE      | [NULL]  |
 CLIENT1     | EDMDEMO_ARCPAGES_W   | TABLE      | [NULL]  |
 CLIENT1     | EDMDEMO_POSTIT       | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ARCLOTS      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ARCLOTS_W    | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ARCPAGES     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ARCPAGES_W   | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_FORMDOC      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IAUTEUR      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IDATEDIT     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IDEX_D       | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IDEX_F       | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IDISPLEC     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IEDITEUR     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IFIC_ID      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IFOUR_ID     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IFOURNIS     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IGED_LNK     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXLIEU     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXMAT      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXNOM      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXORG      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXPERS     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IIDXW        | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IINTITUL     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IISBN        | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ILANGUE      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IMOTCLE      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IMOTOUTI     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_INIVEAU      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_INIV_ID      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_INUMPRO      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IPROD_ID     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IPRODUCT     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_IREF         | TABLE      | [NULL]  |
