27;Rue ARTHUR RIMBAUD;17000;LA ROCHELLE
30;Rue ARTHUR RIMBAUD;17000;LA ROCHELLE
17;Rue ARTHUR RIMBAUD;17000;LA ROCHELLE
15;Avenue ARTHUR VERDIER;17000;LA ROCHELLE
15;Avenue ARTHUR VERDIER;17000;LA ROCHELLE
50;Rue DE L'ARTILLERIE;17000;LA ROCHELLE
7;Rue DE L'ARTILLERIE;17000;LA ROCHELLE
12;Rue DE L'ARTOIS;17000;LA ROCHELLE
14;Rue DE L'ARTOIS;17000;LA ROCHELLE
14;Rue DE L'ARTOIS;17000;LA ROCHELLE
19;Rue ARVEDE BARINE;17000;LA ROCHELLE
36;Rue ARVEDE BARINE;17000;LA ROCHELLE
1;Rue DES AUGUSTINS;17000;LA ROCHELLE
1;Rue DES AUGUSTINS;17000;LA ROCHELLE
1;Rue DES AUGUSTINS;17000;LA ROCHELLE
5;Rue DE LA BARBADE;17000;LA ROCHELLE
11;Rue DE LA BARROERE;17000;LA ROCHELLE
54BIS;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
45;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
64;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
64;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
29;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
54 BIS;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
43;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
61 BIS;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
71;Rue BASSE DE SAINT ELOI;17000;LA ROCHELLE
10;Rue DU BASTION SAINT NICOLAS;17000;LA ROCHELLE
4;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
4;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
4;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
7;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
23;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
4;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
12;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
