id	x	y
1	24.4218	24.9672
2	34.239	25.0884
3	34.1784	15.9984
4	24.4218	15.9984
5	37.269	25.0884
6	41.1474	25.0884
7	41.1474	19.8768
8	37.269	19.8768
9	41.1474	17.9982
10	45.8742	17.9982
11	45.8742	14.9076
12	41.1474	14.9076
13	50.9646	42.3594
14	55.146	42.3594
15	55.146	39.2688
16	50.9646	39.2688
